Applicant_ID,Income,Debt,EMI_Ratio,Late_Payments,Employment,CreditScore,DTI_Ratio,Risk,LoanStatus
A0054,63198,9461,17,5,SelfEmployed,300,0.15,High,Rejected
A0055,43438,42214,44,2,SelfEmployed,300,0.97,High,Rejected
A0056,28551,29584,15,0,SelfEmployed,300,1.04,High,Rejected
A0057,66028,46030,17,5,SelfEmployed,300,0.7,High,Rejected
A0058,86898,77270,19,4,Salaried,300,0.89,High,Rejected
A0059,35603,68539,35,5,Salaried,300,1.93,High,Rejected
A0060,70414,74971,44,2,SelfEmployed,300,1.06,High,Rejected
A0061,36580,32776,40,2,SelfEmployed,300,0.9,High,Rejected
A0062,41884,24943,31,5,Salaried,300,0.6,High,Rejected
A0063,25436,77240,40,4,Salaried,300,3.04,High,Rejected
A0064,49378,75955,44,4,Salaried,300,1.54,High,Rejected
A0065,76373,3327,35,0,SelfEmployed,548,0.04,High,Rejected
A0066,32494,18902,50,2,SelfEmployed,300,0.58,High,Rejected
A0067,67479,73293,18,4,SelfEmployed,300,1.09,High,Rejected
A0068,41376,77505,20,1,Salaried,300,1.87,High,Rejected
A0069,31392,15043,56,0,Salaried,334,0.48,High,Rejected
A0070,50070,16074,62,4,Salaried,300,0.32,High,Rejected
A0071,46630,60475,43,1,Salaried,300,1.3,High,Rejected
A0072,59118,59957,28,5,SelfEmployed,300,1.01,High,Rejected
A0073,39489,11552,19,4,SelfEmployed,300,0.29,High,Rejected
A0074,76227,47656,27,1,SelfEmployed,391,0.63,High,Rejected
A0075,20682,52576,52,3,Salaried,300,2.54,High,Rejected
A0076,50551,19229,38,4,SelfEmployed,300,0.38,High,Rejected
A0077,41922,26513,62,3,SelfEmployed,300,0.63,High,Rejected
A0078,78746,78785,24,0,SelfEmployed,365,1.0,High,Rejected
A0079,57379,72783,50,3,SelfEmployed,300,1.27,High,Rejected
A0080,44030,74069,65,4,Salaried,300,1.68,High,Rejected
A0081,48360,47244,53,2,SelfEmployed,300,0.98,High,Rejected
A0082,81042,37546,33,1,Salaried,470,0.46,High,Rejected
A0083,77982,2650,12,0,Salaried,586,0.03,High,Rejected
A0084,87219,69538,46,4,Salaried,305,0.8,High,Rejected
A0085,75576,43246,38,4,SelfEmployed,300,0.57,High,Rejected
A0086,51035,18586,38,0,SelfEmployed,395,0.36,High,Rejected
A0087,55565,24415,53,5,Salaried,300,0.44,High,Rejected
A0088,41380,58768,41,0,Salaried,300,1.42,High,Rejected
A0089,20504,41166,43,4,Salaried,300,2.01,High,Rejected
A0090,46367,76498,67,3,Salaried,300,1.65,High,Rejected
A0091,80569,73248,28,5,Salaried,300,0.91,High,Rejected
A0092,91814,71351,39,1,SelfEmployed,415,0.78,High,Rejected
A0093,62261,43281,62,4,SelfEmployed,300,0.7,High,Rejected
A0094,95377,47985,29,5,SelfEmployed,323,0.5,High,Rejected
A0095,61579,38196,22,4,Salaried,300,0.62,High,Rejected
A0096,73399,36871,67,4,Salaried,316,0.5,High,Rejected
A0097,22119,43988,21,5,Salaried,300,1.99,High,Rejected
A0098,94704,27510,24,2,SelfEmployed,483,0.29,High,Rejected
A0099,40208,60357,68,1,SelfEmployed,300,1.5,High,Rejected
A0100,58198,49247,59,4,Salaried,300,0.85,High,Rejected
A0101,21095,69986,43,2,Salaried,300,3.32,High,Rejected
A0102,69696,35531,34,1,SelfEmployed,391,0.51,High,Rejected
A0103,45347,64929,28,0,Salaried,300,1.43,High,Rejected
A0104,75522,25191,49,0,Salaried,517,0.33,High,Rejected
A0105,37917,23070,33,3,SelfEmployed,300,0.61,High,Rejected
A0106,62484,56757,44,5,Salaried,300,0.91,High,Rejected
A0107,45835,62743,34,3,SelfEmployed,300,1.37,High,Rejected
A0108,77386,55242,11,2,SelfEmployed,338,0.71,High,Rejected
A0109,92532,5771,48,3,SelfEmployed,481,0.06,High,Rejected
A0110,62118,15196,58,2,SelfEmployed,378,0.24,High,Rejected
A0111,25921,60740,12,4,SelfEmployed,300,2.34,High,Rejected
A0112,79891,53828,30,3,SelfEmployed,314,0.67,High,Rejected
A0113,80203,56567,50,3,SelfEmployed,309,0.71,High,Rejected
A0114,40674,455,54,2,SelfEmployed,350,0.01,High,Rejected
A0115,45413,42861,55,4,Salaried,300,0.94,High,Rejected
A0116,51783,22613,40,4,Salaried,300,0.44,High,Rejected
A0117,53619,734,18,3,SelfEmployed,354,0.01,High,Rejected
A0118,37970,50784,66,0,Salaried,300,1.34,High,Rejected
A0119,73572,29462,46,0,Salaried,497,0.4,High,Rejected
A0120,25271,21636,29,5,Salaried,300,0.86,High,Rejected
A0121,65628,47183,49,1,SelfEmployed,335,0.72,High,Rejected
A0122,92919,13036,46,5,SelfEmployed,387,0.14,High,Rejected
A0123,53919,50753,56,2,SelfEmployed,300,0.94,High,Rejected
A0124,66378,56429,45,4,Salaried,300,0.85,High,Rejected
A0125,41840,59911,28,5,SelfEmployed,300,1.43,High,Rejected
A0126,55942,55279,35,3,Salaried,300,0.99,High,Rejected
A0127,95014,76586,56,0,Salaried,491,0.81,High,Rejected
A0128,82180,7296,23,1,SelfEmployed,519,0.09,High,Rejected
A0129,86507,39386,36,4,Salaried,371,0.46,High,Rejected
A0130,61162,50052,65,4,SelfEmployed,300,0.82,High,Rejected
A0131,24271,42054,30,1,SelfEmployed,300,1.73,High,Rejected
A0132,33182,35484,41,0,SelfEmployed,300,1.07,High,Rejected
A0133,98572,58490,28,3,Salaried,426,0.59,High,Rejected
A0134,76146,19623,63,0,SelfEmployed,504,0.26,High,Rejected
A0135,63130,22483,58,5,Salaried,300,0.36,High,Rejected
A0136,64407,28605,68,2,SelfEmployed,346,0.44,High,Rejected
A0137,97671,22370,63,0,Salaried,616,0.23,High,Rejected
A0138,98761,6019,18,0,Salaried,653,0.06,Medium,Approved
A0139,45026,9044,24,3,SelfEmployed,300,0.2,High,Rejected
A0140,91387,10803,16,4,SelfEmployed,426,0.12,High,Rejected
A0141,27009,76618,44,5,SelfEmployed,300,2.84,High,Rejected
A0142,22669,12863,59,3,SelfEmployed,300,0.57,High,Rejected
A0143,60087,14996,70,0,SelfEmployed,450,0.25,High,Rejected
A0144,64353,25588,36,3,SelfEmployed,315,0.4,High,Rejected
A0145,21133,35632,66,0,SelfEmployed,300,1.69,High,Rejected
A0146,92837,20040,68,3,Salaried,481,0.22,High,Rejected
A0147,57366,69281,70,0,Salaried,300,1.21,High,Rejected
A0148,23325,61325,20,3,Salaried,300,2.63,High,Rejected
A0149,21054,43172,10,4,Salaried,300,2.05,High,Rejected
A0150,21922,6966,49,3,SelfEmployed,300,0.32,High,Rejected
A0151,66696,46850,27,1,SelfEmployed,342,0.7,High,Rejected
A0152,98427,35357,29,2,Salaried,512,0.36,High,Rejected
A0153,47406,13786,70,2,SelfEmployed,317,0.29,High,Rejected
A0154,46452,9391,69,4,Salaried,300,0.2,High,Rejected
A0155,62475,62879,65,2,Salaried,300,1.01,High,Rejected
A0156,56513,22502,64,5,SelfEmployed,300,0.4,High,Rejected
A0157,48158,22649,40,0,Salaried,394,0.47,High,Rejected
A0158,24276,70657,54,2,SelfEmployed,300,2.91,High,Rejected
A0159,54200,52060,70,0,SelfEmployed,300,0.96,High,Rejected
A0160,37315,74276,35,5,SelfEmployed,300,1.99,High,Rejected
A0161,86499,58535,39,5,SelfEmployed,300,0.68,High,Rejected
A0162,96033,3965,39,2,Salaried,567,0.04,High,Rejected
A0163,81554,64326,62,5,Salaried,300,0.79,High,Rejected
A0164,34565,12041,68,4,SelfEmployed,300,0.35,High,Rejected
A0165,57294,13580,23,5,Salaried,300,0.24,High,Rejected
A0166,37860,49402,45,1,Salaried,300,1.3,High,Rejected
A0167,37987,75141,43,5,Salaried,300,1.98,High,Rejected
A0168,47748,41218,47,3,Salaried,300,0.86,High,Rejected
A0169,23376,30526,69,4,Salaried,300,1.31,High,Rejected
A0170,83354,52180,37,2,SelfEmployed,376,0.63,High,Rejected
A0171,47101,72674,59,1,Salaried,300,1.54,High,Rejected
A0172,95922,51630,60,4,SelfEmployed,358,0.54,High,Rejected
A0173,44877,40839,32,4,SelfEmployed,300,0.91,High,Rejected
A0174,63508,13390,45,4,Salaried,340,0.21,High,Rejected
A0175,33342,12909,57,4,Salaried,300,0.39,High,Rejected
A0176,30219,50772,41,1,Salaried,300,1.68,High,Rejected
A0177,75466,19759,13,3,Salaried,411,0.26,High,Rejected
A0178,24298,75567,58,1,Salaried,300,3.11,High,Rejected
A0179,40673,74075,45,5,Salaried,300,1.82,High,Rejected
A0180,30332,46027,12,4,Salaried,300,1.52,High,Rejected
A0181,35781,25675,63,4,SelfEmployed,300,0.72,High,Rejected
A0182,79606,51257,36,2,SelfEmployed,359,0.64,High,Rejected
A0183,64455,69605,35,3,SelfEmployed,300,1.08,High,Rejected
A0184,55314,76582,38,5,Salaried,300,1.38,High,Rejected
A0185,44903,74933,62,1,Salaried,300,1.67,High,Rejected
A0186,55036,7618,13,5,Salaried,300,0.14,High,Rejected
A0187,98719,34553,53,0,Salaried,595,0.35,High,Rejected
A0188,32482,75338,60,3,SelfEmployed,300,2.32,High,Rejected
A0189,47894,33521,52,1,Salaried,307,0.7,High,Rejected
A0190,70270,65048,21,1,SelfEmployed,310,0.93,High,Rejected
A0191,38734,6225,25,0,Salaried,423,0.16,High,Rejected
A0192,56123,29283,13,2,SelfEmployed,302,0.52,High,Rejected
A0193,52095,67531,11,1,SelfEmployed,300,1.3,High,Rejected
A0194,38487,1491,45,2,SelfEmployed,336,0.04,High,Rejected
A0195,29703,53738,34,4,Salaried,300,1.81,High,Rejected
A0196,64691,24807,55,2,SelfEmployed,359,0.38,High,Rejected
A0197,64995,46844,35,4,SelfEmployed,300,0.72,High,Rejected
A0198,48073,45284,43,3,Salaried,300,0.94,High,Rejected
A0199,69509,9755,34,0,SelfEmployed,505,0.14,High,Rejected
A0200,69329,66807,29,5,SelfEmployed,300,0.96,High,Rejected
A0201,42405,3837,55,5,Salaried,300,0.09,High,Rejected
A0202,31918,55436,27,0,Salaried,300,1.74,High,Rejected
A0203,75191,54184,54,5,Salaried,300,0.72,High,Rejected
A0204,56754,45639,17,4,SelfEmployed,300,0.8,High,Rejected
A0205,74360,76422,51,0,SelfEmployed,344,1.03,High,Rejected
A0206,61072,59511,50,2,Salaried,300,0.97,High,Rejected
A0207,74435,30151,40,1,Salaried,459,0.41,High,Rejected
A0208,67563,25406,24,2,Salaried,401,0.38,High,Rejected
A0209,23495,33082,66,0,SelfEmployed,300,1.41,High,Rejected
A0210,41811,29697,38,4,Salaried,300,0.71,High,Rejected
A0211,46151,56982,36,0,SelfEmployed,300,1.23,High,Rejected
A0212,79027,73102,40,5,SelfEmployed,300,0.93,High,Rejected
A0213,48663,40016,49,3,Salaried,300,0.82,High,Rejected
A0214,60913,19462,69,4,SelfEmployed,300,0.32,High,Rejected
A0215,78371,45120,44,0,Salaried,479,0.58,High,Rejected
A0216,95492,62367,29,0,Salaried,523,0.65,High,Rejected
A0217,31327,58241,64,3,Salaried,300,1.86,High,Rejected
A0218,60642,30089,34,5,Salaried,300,0.5,High,Rejected
A0219,71470,11931,31,4,SelfEmployed,346,0.17,High,Rejected
A0220,33602,48521,16,3,Salaried,300,1.44,High,Rejected
A0221,32064,57,68,5,SelfEmployed,300,0.0,High,Rejected
A0222,35089,1453,53,4,SelfEmployed,300,0.04,High,Rejected
A0223,58529,70847,11,0,Salaried,300,1.21,High,Rejected
A0224,52825,5272,63,1,Salaried,444,0.1,High,Rejected
A0225,25321,7953,10,3,Salaried,300,0.31,High,Rejected
A0226,32326,61193,12,5,Salaried,300,1.89,High,Rejected
A0227,94221,72162,36,4,SelfEmployed,306,0.77,High,Rejected
A0228,82757,24239,70,1,SelfEmployed,481,0.29,High,Rejected
A0229,43779,42615,49,0,Salaried,300,0.97,High,Rejected
A0230,70913,63003,48,5,Salaried,300,0.89,High,Rejected
A0231,54514,35540,14,3,SelfEmployed,300,0.65,High,Rejected
A0232,61356,35383,14,3,SelfEmployed,300,0.58,High,Rejected
A0233,45341,40612,66,2,SelfEmployed,300,0.9,High,Rejected
A0234,61176,58019,16,2,SelfEmployed,300,0.95,High,Rejected
A0235,39967,74454,12,1,SelfEmployed,300,1.86,High,Rejected
A0236,37229,7080,47,0,SelfEmployed,382,0.19,High,Rejected
A0237,29592,31796,46,0,SelfEmployed,300,1.07,High,Rejected
A0238,62699,68658,61,0,SelfEmployed,300,1.1,High,Rejected
A0239,40793,64849,20,1,SelfEmployed,300,1.59,High,Rejected
A0240,90569,77635,13,3,Salaried,345,0.86,High,Rejected
A0241,61044,41082,37,2,SelfEmployed,300,0.67,High,Rejected
A0242,35348,58265,60,2,Salaried,300,1.65,High,Rejected
A0243,38352,19640,64,0,Salaried,351,0.51,High,Rejected
A0244,59976,15890,53,5,Salaried,300,0.26,High,Rejected
A0245,88710,55764,35,1,SelfEmployed,434,0.63,High,Rejected
A0246,73675,64079,60,2,SelfEmployed,300,0.87,High,Rejected
A0247,70424,35214,25,2,SelfEmployed,356,0.5,High,Rejected
A0248,50374,47828,49,0,SelfEmployed,300,0.95,High,Rejected
A0249,25212,53433,32,5,SelfEmployed,300,2.12,High,Rejected
A0250,78191,65123,30,5,SelfEmployed,300,0.83,High,Rejected
A0251,75475,47093,12,3,SelfEmployed,309,0.62,High,Rejected
A0252,89244,77389,25,2,Salaried,378,0.87,High,Rejected
A0253,52999,10068,22,1,SelfEmployed,397,0.19,High,Rejected
A0254,27583,39239,11,4,Salaried,300,1.42,High,Rejected
A0255,45902,23117,25,5,SelfEmployed,300,0.5,High,Rejected
A0256,72142,40095,17,3,SelfEmployed,311,0.56,High,Rejected
A0257,53293,59647,27,4,SelfEmployed,300,1.12,High,Rejected
A0258,54917,46028,12,4,Salaried,300,0.84,High,Rejected
A0259,75497,24204,52,4,SelfEmployed,330,0.32,High,Rejected
A0260,57172,23960,49,2,Salaried,356,0.42,High,Rejected
A0261,42780,3321,13,0,Salaried,454,0.08,High,Rejected
A0262,81389,16802,34,4,Salaried,403,0.21,High,Rejected
A0263,42137,3989,65,3,Salaried,328,0.09,High,Rejected
A0264,95843,18235,65,0,Salaried,617,0.19,High,Rejected
A0265,58680,59194,22,0,Salaried,323,1.01,High,Rejected
A0266,27821,77807,68,5,Salaried,300,2.8,High,Rejected
A0267,25750,38636,56,3,SelfEmployed,300,1.5,High,Rejected
A0268,95481,20680,64,3,Salaried,490,0.22,High,Rejected
A0269,25218,45742,10,2,Salaried,300,1.81,High,Rejected
A0270,97545,79583,43,1,SelfEmployed,428,0.82,High,Rejected
A0271,91687,15908,20,3,Salaried,486,0.17,High,Rejected
A0272,52453,50619,39,4,Salaried,300,0.97,High,Rejected
A0273,42796,44159,46,2,Salaried,300,1.03,High,Rejected
A0274,26908,22986,62,2,Salaried,300,0.85,High,Rejected
A0275,96442,40420,11,3,Salaried,453,0.42,High,Rejected
A0276,50647,47743,17,1,SelfEmployed,300,0.94,High,Rejected
A0277,76070,3898,54,5,Salaried,375,0.05,High,Rejected
A0278,34165,77162,31,5,SelfEmployed,300,2.26,High,Rejected
A0279,87351,71813,20,3,Salaried,341,0.82,High,Rejected
A0280,80483,76913,46,0,SelfEmployed,380,0.96,High,Rejected
A0281,90546,34968,19,3,Salaried,439,0.39,High,Rejected
A0282,40066,68352,45,3,Salaried,300,1.71,High,Rejected
A0283,43542,29629,11,0,SelfEmployed,306,0.68,High,Rejected
A0284,69832,13510,68,2,Salaried,445,0.19,High,Rejected
A0285,84865,67576,70,5,Salaried,300,0.8,High,Rejected
A0286,47936,62874,44,4,Salaried,300,1.31,High,Rejected
A0287,36208,1225,51,3,SelfEmployed,300,0.03,High,Rejected
A0288,41130,17025,36,0,SelfEmployed,351,0.41,High,Rejected
A0289,43365,38394,15,1,Salaried,300,0.89,High,Rejected
A0290,20957,8614,45,3,SelfEmployed,300,0.41,High,Rejected
A0291,83440,46689,55,1,Salaried,460,0.56,High,Rejected
A0292,70252,33835,68,1,SelfEmployed,399,0.48,High,Rejected
A0293,98496,25307,16,4,SelfEmployed,423,0.26,High,Rejected
A0294,43367,2168,50,1,SelfEmployed,391,0.05,High,Rejected
A0295,78352,62911,21,0,Salaried,433,0.8,High,Rejected
A0296,54053,39724,13,4,SelfEmployed,300,0.73,High,Rejected
A0297,44821,36186,64,3,Salaried,300,0.81,High,Rejected
A0298,33725,50599,69,3,Salaried,300,1.5,High,Rejected
A0299,72109,34497,70,5,Salaried,300,0.48,High,Rejected
A0300,42316,4476,55,1,Salaried,406,0.11,High,Rejected
A0301,95123,2311,27,5,Salaried,448,0.02,High,Rejected
A0302,38498,62033,53,2,Salaried,300,1.61,High,Rejected
A0303,81329,31282,30,0,SelfEmployed,497,0.38,High,Rejected
A0304,45540,69158,51,3,SelfEmployed,300,1.52,High,Rejected
A0305,79372,7005,14,0,SelfEmployed,550,0.09,High,Rejected
A0306,56112,45024,25,3,SelfEmployed,300,0.8,High,Rejected
A0307,70619,60843,36,1,SelfEmployed,324,0.86,High,Rejected
A0308,27800,19961,18,2,Salaried,300,0.72,High,Rejected
A0309,93168,46018,14,2,Salaried,467,0.49,High,Rejected
A0310,33153,8774,56,5,SelfEmployed,300,0.26,High,Rejected
A0311,51838,26186,42,1,Salaried,360,0.51,High,Rejected
A0312,91229,58869,26,2,Salaried,430,0.65,High,Rejected
A0313,40721,128,23,5,SelfEmployed,300,0.0,High,Rejected
A0314,37259,31870,55,5,Salaried,300,0.86,High,Rejected
A0315,48292,47508,27,0,SelfEmployed,300,0.98,High,Rejected
A0316,94245,13501,67,3,Salaried,501,0.14,High,Rejected
A0317,64209,9049,60,3,SelfEmployed,366,0.14,High,Rejected
A0318,61813,43903,55,0,Salaried,394,0.71,High,Rejected
A0319,46120,23870,59,4,Salaried,300,0.52,High,Rejected
A0320,53367,24997,49,5,Salaried,300,0.47,High,Rejected
A0321,89320,26097,35,5,Salaried,374,0.29,High,Rejected
A0322,98888,12244,50,2,SelfEmployed,531,0.12,High,Rejected
A0323,59527,73429,35,0,SelfEmployed,300,1.23,High,Rejected
A0324,51326,42412,52,4,SelfEmployed,300,0.83,High,Rejected
A0325,43663,4385,67,3,SelfEmployed,302,0.1,High,Rejected
A0326,92867,71810,42,2,SelfEmployed,380,0.77,High,Rejected
A0327,56433,32910,42,0,Salaried,400,0.58,High,Rejected
A0328,41281,46233,63,0,Salaried,300,1.12,High,Rejected
A0329,82779,2308,34,1,SelfEmployed,534,0.03,High,Rejected
A0330,97932,79879,57,0,Salaried,499,0.82,High,Rejected
A0331,31191,79362,20,4,SelfEmployed,300,2.54,High,Rejected
A0332,24054,9806,43,0,SelfEmployed,300,0.41,High,Rejected
A0333,62777,31869,44,2,SelfEmployed,328,0.51,High,Rejected
A0334,94281,60990,37,4,Salaried,360,0.65,High,Rejected
A0335,61181,55779,36,0,Salaried,351,0.91,High,Rejected
A0336,33473,19595,51,0,Salaried,320,0.59,High,Rejected
A0337,98676,46311,26,4,SelfEmployed,381,0.47,High,Rejected
A0338,33761,51946,34,0,Salaried,300,1.54,High,Rejected
A0339,56773,28202,27,5,Salaried,300,0.5,High,Rejected
A0340,20448,46578,14,4,Salaried,300,2.28,High,Rejected
A0341,77653,43404,53,2,SelfEmployed,369,0.56,High,Rejected
A0342,73920,15799,23,0,Salaried,535,0.21,High,Rejected
A0343,54628,26784,22,1,SelfEmployed,343,0.49,High,Rejected
A0344,54237,9959,70,2,Salaried,393,0.18,High,Rejected
A0345,78470,43454,30,4,SelfEmployed,300,0.55,High,Rejected
A0346,41991,61710,15,2,SelfEmployed,300,1.47,High,Rejected
A0347,83724,68020,24,1,SelfEmployed,380,0.81,High,Rejected
A0348,23400,69883,31,3,SelfEmployed,300,2.99,High,Rejected
A0349,93070,9300,63,2,Salaried,545,0.1,High,Rejected
A0350,26012,20817,19,1,Salaried,300,0.8,High,Rejected
A0351,25200,42553,50,5,Salaried,300,1.69,High,Rejected
A0352,43499,16578,60,0,SelfEmployed,366,0.38,High,Rejected
A0353,92807,39297,60,3,Salaried,440,0.42,High,Rejected
A0354,95580,23666,16,0,SelfEmployed,575,0.25,High,Rejected
A0355,51008,8460,63,4,SelfEmployed,300,0.17,High,Rejected
A0356,80558,5376,19,4,SelfEmployed,398,0.07,High,Rejected
A0357,35460,32277,58,0,SelfEmployed,300,0.91,High,Rejected
A0358,69458,12232,13,3,SelfEmployed,377,0.18,High,Rejected
A0359,72910,38274,18,3,Salaried,350,0.52,High,Rejected
A0360,66915,14694,23,2,SelfEmployed,400,0.22,High,Rejected
A0361,45623,24802,10,3,Salaried,300,0.54,High,Rejected
A0362,30317,21812,61,4,SelfEmployed,300,0.72,High,Rejected
A0363,88594,58118,67,1,Salaried,458,0.66,High,Rejected
A0364,21287,71079,33,3,Salaried,300,3.34,High,Rejected
A0365,74721,65605,38,0,SelfEmployed,375,0.88,High,Rejected
A0366,52079,56760,32,1,SelfEmployed,300,1.09,High,Rejected
A0367,46692,74181,32,1,Salaried,300,1.59,High,Rejected
A0368,92125,44805,18,4,Salaried,385,0.49,High,Rejected
A0369,98080,18267,48,4,SelfEmployed,436,0.19,High,Rejected
A0370,91050,20343,16,3,Salaried,473,0.22,High,Rejected
A0371,53240,55761,29,2,Salaried,300,1.05,High,Rejected
A0372,82502,35322,59,5,Salaried,323,0.43,High,Rejected
A0373,91492,22997,22,3,SelfEmployed,439,0.25,High,Rejected
A0374,83705,7826,43,1,Salaried,554,0.09,High,Rejected
A0375,20159,50806,21,4,Salaried,300,2.52,High,Rejected
A0376,76630,72206,32,3,SelfEmployed,300,0.94,High,Rejected
A0377,83242,56952,68,0,SelfEmployed,444,0.68,High,Rejected
A0378,40485,46298,70,4,Salaried,300,1.14,High,Rejected
A0379,72879,19361,14,3,Salaried,401,0.27,High,Rejected
A0380,93115,30436,45,1,Salaried,540,0.33,High,Rejected
A0381,51261,74375,53,2,Salaried,300,1.45,High,Rejected
A0382,28739,30578,68,2,SelfEmployed,300,1.06,High,Rejected
A0383,23502,24062,57,5,Salaried,300,1.02,High,Rejected
A0384,36002,14033,35,1,SelfEmployed,300,0.39,High,Rejected
A0385,59690,8354,25,5,Salaried,300,0.14,High,Rejected
A0386,26658,50280,36,1,Salaried,300,1.89,High,Rejected
A0387,85387,13472,52,0,SelfEmployed,557,0.16,High,Rejected
A0388,42776,27056,57,4,Salaried,300,0.63,High,Rejected
A0389,49030,19286,30,3,SelfEmployed,300,0.39,High,Rejected
A0390,33590,45643,13,4,SelfEmployed,300,1.36,High,Rejected
A0391,29147,66943,59,5,Salaried,300,2.3,High,Rejected
A0392,62166,74385,26,0,Salaried,300,1.2,High,Rejected
A0393,44358,53356,35,0,Salaried,300,1.2,High,Rejected
A0394,80658,2662,10,0,Salaried,595,0.03,High,Rejected
A0395,26139,26400,69,1,Salaried,300,1.01,High,Rejected
A0396,45672,47031,62,5,SelfEmployed,300,1.03,High,Rejected
A0397,63170,21454,14,0,SelfEmployed,443,0.34,High,Rejected
A0398,52926,65776,65,2,Salaried,300,1.24,High,Rejected
A0399,37029,62098,48,4,SelfEmployed,300,1.68,High,Rejected
A0400,24299,57708,22,2,Salaried,300,2.37,High,Rejected
A0401,66806,32648,47,4,Salaried,300,0.49,High,Rejected
A0402,35783,65256,11,5,Salaried,300,1.82,High,Rejected
A0403,92533,50231,66,4,SelfEmployed,345,0.54,High,Rejected
A0404,23390,37969,27,1,Salaried,300,1.62,High,Rejected
A0405,70728,71166,40,0,Salaried,366,1.01,High,Rejected
A0406,46446,7540,31,2,SelfEmployed,340,0.16,High,Rejected
A0407,73844,8507,34,5,Salaried,355,0.12,High,Rejected
A0408,55032,18891,54,1,SelfEmployed,373,0.34,High,Rejected
A0409,99142,15853,53,0,SelfEmployed,605,0.16,High,Rejected
A0410,62624,63470,62,0,SelfEmployed,306,1.01,High,Rejected
A0411,21066,53764,62,3,Salaried,300,2.55,High,Rejected
A0412,49721,42328,58,3,Salaried,300,0.85,High,Rejected
A0413,41139,20059,42,2,Salaried,300,0.49,High,Rejected
A0414,33154,65232,55,4,SelfEmployed,300,1.97,High,Rejected
